,,,,,,,,,,Métrage en m ,Position,taille mm,taille mm,,,,
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.078,213.328,12.495,4.399,0.000,300,300,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.081,192.543,3.524,0.815,0.000,302,302,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.081,242.405,26.330,2.137,0.000,303,303,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.080,160.595,11.082,2.155,0.000,304,304,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.083,738.026,4.329,4.236,0.000,305,305,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,379.405,194.479,7.668,1.532,0.000,239,239,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,402.810,619.932,1.660,1.140,0.000,267,267,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,402.809,458.161,4.031,0.977,0.000,268,268,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,402.803,204.080,63.894,5.108,0.000,270,270,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,402.805,186.619,4.165,1.748,0.000,273,273,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.080,288.563,4.311,4.058,0.000,297,297,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,10.351,348.863,0.476,1.461,0.000,68,68,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,10.981,349.004,0.476,2.924,0.000,70,70,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,1280.564,1474.105,0.966,4.552,0.000,746,746,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,1252.981,1474.458,0.789,3.252,0.000,708,708,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,1145.109,1481.664,0.789,10.564,0.000,601,601,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,1151.299,1473.492,0.947,2.115,0.000,611,611,0'
